Start_Id,average,name,V3,V4,latitude,longitude
1,9.98901098901099,10th & Monroe St NE , Washington, DC,38.93249,-76.992619
2,64.1318681318681,10th & U St NW,  Washington, DC,38.91701,-77.025959
3,60.5494505494505,10th St & Constitution Ave NW, Washington, DC,38.892082,-77.02599
4,33.7252747252747,11th & H St NE, Washington, DC,38.90019,-76.991529
5,55.2857142857143,11th & Kenyon St NW, Washington, DC,38.9297,-77.027729
6,1.8021978021978,12th & L Street NW, Washington, DC,38.9037394,-77.0280934
7,3.58241758241758,12th & Newton St NE,  Washington, DC,38.93352,-76.991069
8,49.4725274725275,13th & D St NE, Washington, DC,38.89477,-76.988289
9,41.2527472527473,13th & H St NE, Washington, DC,38.90018,-76.988309
10,52.3516483516484,13th St & New York Ave NW, Washington, DC,38.9002912,-77.0295883
11,51.3406593406593,14th & D St NW/Ronald Reagan Building, Washington, DC,38.8946211,-77.0319546
12,30.6703296703297,14th & D St SE, Washington, DC,38.88411,-76.985509
13,51.978021978022,14th & G St NW, Washington, DC,38.8983151,-77.0319301
14,62.3076923076923,14th & Harvard NW, Washington, DC,38.92658,-77.032419
15,62.1318681318681,14th & R St NW, Washington, DC,38.9126061,-77.0319494
16,81.3956043956044,14th & Rhode Isl& Ave NW, Washington, DC,38.9088354,-77.0319462
17,99.7032967032967,14th & V St NW, Washington, DC,38.9181132,-77.0319544
18,24.0769230769231,14th & Spring Rd, Washington, DC,38.9371,-77.032749
19,8.49450549450549,14th St. Heights/14th & Crittenden St NW, Washington, DC,38.94717,-77.032729
20,125.879120879121,15th & P St NW, Washington, DC,38.9096506,-77.0345573
21,27.4725274725275,15th St & Massachusetts Avenue SE, Washington, DC,38.88713,-76.983659
22,85.978021978022,16th & Harvard St NW, Washington, DC,38.9262766,-77.0364703
23,103.692307692308,17th & Corcoran, Washington, DC,38.9118701,-77.0384855
24,50.7582417582418,17th & K St NW/Farragut Square , Washington, DC,38.9025183,-77.0394561
25,60.3516483516484,17th & L Street NW, Washington, DC,38.9037,-76.980059
26,70.2527472527473,17th & Rhode Isl& Ave NW, Washington, DC,38.906544,-77.038501
27,52.2637362637363,18th & M St NW,  Washington, DC,38.9056568,-77.0416876
28,46.6043956043956,18th St & Pennsylvania Ave NW, Washington, DC,38.8995833,-77.0416943
29,24.8351648351648,19th & E Street NW, Washington, DC,38.8961,-76.977239
30,14.8901098901099,19th & East Capitol St SE, Washington, DC,38.88982,-76.977269
31,0.967032967032967,19th & K Street NW, Washington, DC,38.90187,-77.043454
32,44.3186813186813,19th & L St NW, Washington, DC,38.9037478,-77.0434709
33,71.8571428571429,19th St & Constitution Ave NW, Washington, DC,38.8921176,-77.043486
34,40.7912087912088,19th St & Pennsylvania Ave NW, Washington, DC,38.9002076,-77.0434741
35,40.032967032967,1st & K St SE, Washington, DC,38.87839,-77.005869
36,58.5934065934066,1st & M Street NE, Washington, DC,38.90561,-77.005869
37,15.8791208791209,1st & N ST SE, Washington, DC,38.87463,-77.005849
38,40.0879120879121,1st & Rhode Island Ave NW, Washington, DC,38.91577,-77.012149
39,4.94505494505495,1st & Washington Hospital Center NW, Washington, DC,38.9289367,-77.0131141
40,41.4395604395604,20th & E St NW, Washington, DC,38.895421,-77.0449197
41,1.53846153846154,20th & L Street NW, Washington, DC,38.9037457,-77.0449144
42,51.1428571428571,20th & O Street NW/Dupont South, Washington, DC,38.9085727,-77.0448996
43,74.0659340659341,20th St & Florida Ave NW, Washington, DC,38.9151073,-77.044913
44,100.549450549451,21st & I St NW, Washington, DC,38.900693,-77.0466465
45,75.2197802197802,21st & M St NW, Washington, DC,38.9056284,-77.0466468
46,0.813186813186813,21st & Pennsylvania Avenue NW, Washington, DC,38.9013166,-77.046647
47,68.1868131868132,25th St & Pennsylvania Ave NW, Washington, DC,38.9036794,-77.0532984
48,20.6813186813187,34th St & Wisconsin Ave NW, Washington, DC,38.91605,-77.068019
49,15.5164835164835,36th & Calvert St NW/Glover Park , Washington, DC,38.92254,-77.070849
50,31.5824175824176,37th & O St NW/Georgetown University , Washington, DC,38.90768,-77.071609
51,18.1098901098901,39th & Calvert St NW , Washington, DC,38.92255,-77.077879
52,56.5384615384615,3rd & D St SE, Washington, DC,38.88507,-77.002019
53,28.8791208791209,3rd & G SE, Washington, DC,38.88128,-77.002029
54,39.956043956044,3rd & H St NE, Washington, DC,38.90021,-77.002039
55,32.5054945054945,4th & D St NW/Judiciary Square, Washington, DC,38.89476,-77.016169
56,39.4945054945055,4th & E St SW, Washington, DC,38.88324,-77.017549
57,57.4505494505495,4th & East Capitol St NE, Washington, DC,38.88982,-77.000569
58,55.4835164835165,4th & M St SW, Washington, DC,38.87648,-77.000549
59,56.4615384615385,4th St & Massachusetts Ave NW, Washington, DC,38.90017,-77.016169
60,9.8021978021978,4th & Rhode Isl& Avenue NE, Washington, DC,38.91982,-77.000549
61,51.1428571428571,5th & F St NW, Washington, DC,38.89734,-77.018939
62,71.2967032967033,5th St & K St NW, Washington, DC,38.90253,-77.018919
63,31.8571428571429,6th & H St NE, Washington, DC,38.90021,-76.998419
64,90.1428571428571,7th & F St NW/National Portriat Gallery , Washington, DC,38.89728,-77.021909
65,44.4615384615385,7th & R St NW/Shaw Library, Washington, DC,38.91261,-77.021929
66,37.1538461538462,7th & T St NW, Washington, DC,38.91556,-77.021939
67,20.9450549450549,7th & Water St SW , Washington, DC,38.8783,-77.023109
68,20.6263736263736,8th & Eye St SE , Washington, DC,38.8792668,-76.9949742
69,80.4065934065934,8th & H St NW, Washington, DC,38.89982,-77.022859
70,16.3846153846154,9th & Upshur St NW, Washington, DC,38.94189,-77.025059
71,93.2527472527473,Adams Mill & Columbia Rd NW, Washington, DC,38.9226795,-77.0426674
72,2.74725274725275,Anacostia Ave & Benning Rd NE, Washington, DC,38.89699,-76.960259
73,0.78021978021978,Anacostia Library, Washington, DC,38.8656755,-76.9789908
74,2.27472527472527,Anacostia Metro, Washington, DC,38.864047,-76.997488
75,1.07692307692308,Benning Branch Library, Washington, DC,38.894099,-76.947765
76,1.95604395604396,Benning Rd & East Capitol St NE/Benning Rd. Metro , Washington, DC,38.8898952,-76.9375948
77,14.8021978021978,Bladensburg Rd & Benning Rd NE, Washington, DC,38.90015,-76.983359
78,0.241758241758242,Branch & Pennsylvania Ave SE, Washington, DC,38.869077,-76.960063
79,57.2417582417582,C & O Canal & Wisconsin Ave NW, Washington, DC,38.9038422,-77.0627724
80,54.4505494505495,California St & Florida Ave NW, Washington, DC,38.9177788,-77.0404218
81,72.0879120879121,Calvert St & Woodley Pl NW, Washington, DC,38.92345,-77.050209
82,49.8901098901099,Columbia Rd & Belmont St NW, Washington, DC,38.92057,-77.043939
83,24.6593406593407,Columbia Rd & Georgia Ave NW, Washington, DC,38.92813,-77.023079
84,145.252747252747,Columbus Circle / Union Station, Washington, DC,38.8973131,-77.0047476
85,0.78021978021978,Congress Heights Metro, Washington, DC,38.8446138,-76.9890402
86,28.043956043956,Connecticut Ave & Newark St NW , Washington, DC,38.93407,-77.057649
87,63.3296703296703,7th & M St NW, Washington, DC,38.90564,-77.021899
88,50.2087912087912,D Street & Maryl& Avenue NE, Washington, DC,38.89478,-76.996579
89,58.7362637362637,7th & North Carolina Ave SE, Washington, DC,38.88742,-76.996149
90,104.648351648352,Pennsylvania Ave & 7th St SE, Washington, DC,38.88458,-76.996159
91,13.956043956044,Fairfax Village,,,38.865676,-76.952145
92,0.505494505494505,Eckington Pl & Q St NE, Washington, DC,38.91109,-77.004779
93,46.6263736263736,Florida Ave & R St NW, Washington, DC,38.91262,-77.013299
94,44.7692307692308,Georgetown Harbor/30th St NW, Washington, DC,38.902285,-77.058599
95,36.6043956043956,Georgia & New Hampshire Ave NW, Washington, DC,38.9362496,-77.0242799
96,15.8351648351648,Georgia Ave & Fairmont St NW, Washington, DC,38.92517,-77.022669
97,1.16483516483516,Good Hope & Naylor Rd,  Washington, DC,38.8612,-76.969359
98,0.626373626373626,Good Hope & 14th Street SE, Washington, DC,38.866775,-76.985504
99,1.83516483516484,Good Hope & MLK,,,38.8674403,-76.9886086
100,13.0989010989011,Harvard St & Adams Mill Rd NW, Washington, DC,38.92753,-77.042609
101,30.7582417582418,Idaho Avenue & Newark Street NW, Washington, DC,38.9351054,-77.0739748
102,102.032967032967,Jefferson Drive & 14th Street SW, Washington, DC,38.88861,-77.031959
103,28.8571428571429,Jefferson Memorial, Washington, DC,38.88118,-77.036407
104,4.64835164835165,John McCormack Rd & Michigan Ave NE, Washington, DC,38.9335,-76.995359
105,10.7252747252747,Kennedy Center, Washington, DC,38.89606,-77.055198
106,45.010989010989,7th & C St SW, Washington, DC,,,38.88559,-77.021899
107,53.8571428571429,Lamont & Mt Pleasant NW, Washington, DC,38.93115,-77.038319
108,72.7802197802198,13th & East Capitol St NE, Washington, DC,38.89022,-76.988289
109,34.0879120879121,M St & New Jersey Ave SE, Washington, DC,38.87649,-77.004179
110,53.1208791208791,M St & Pennsylvania Avenue NW, Washington, DC,38.9052288,-77.05796
111,65.3626373626374,Maryland Avenue & Independence SW, Washington, DC,38.88757,-77.018829
112,172.494505494505,Massachusetts Ave & Dupont Circle NW, Washington, DC,38.90992,-77.044179
113,49.7142857142857,McPherson Square-14th & H St NW, Washington, DC,38.895815,-77.031949
114,82.967032967033,12th & G St NW, Washington, DC,38.896745,-77.028064
115,0.945054945054945,Minnesota Ave Metro, Washington, DC,38.8952081,-76.9490852
116,90.3516483516484,New Hampshire Avenue & T Street NW, Washington, DC,38.9156,-77.037889
117,65.2747252747253,New York Ave & 15th St NW, Washington, DC,38.8988543,-77.0336504
118,76.967032967033,North Capitol St & F St NW, Washington, DC,38.89732,-77.009039
119,63.7472527472527,Ohio Drive & West Basin Drive SW, Washington, DC,38.88377,-77.046379
120,65.967032967033,Park Rd & Holmead Pl NW, Washington, DC,38.93093,-77.030869
121,1.26373626373626,Pennsylvania Ave SE & Minnesota SE, Washington, DC,38.87391,-76.971379
122,38.5824175824176,Potomac & Pennsylvania Ave SE, Washington, DC,38.880134,-76.983409
123,0.516483516483517,Randle Circle & Minnesota Ave NE, Washington, DC,38.8785406,-76.9611286
124,73.4065934065934,Jefferson Drive & 12th Street SW, Washington, DC,38.88866,-77.028179
125,27.0989010989011,Wisconsin Ave & Albemarle St NW, Washington, DC,38.9479287,-77.0796836
126,101.450549450549,Thomas Circle, Washington, DC,38.9057325,-77.0318885
127,44.6373626373626,US Dept of State / Virgina Ave & 21st St NW, Washington, DC,38.8952381,-77.0466679
128,49.9340659340659,12th & Independence Ave SW, Washington, DC,38.88757,-77.027929
129,23.3956043956044,Van Ness Metro , Washington, DC,38.9449376,-77.0651709
130,14.8681318681319,Ward Circle , Washington, DC,38.938233,-77.085627
131,3.73626373626374,White House, Washington, DC,38.8964042,-77.0394735
132,25.3516483516484,3000 Connecticut Ave NW, Washington, DC,38.929939,-77.055247
